Timestamp,Name,Value
0.882708,"NT:/FMSInfo/.type","FMSInfo"
0.883834,"NT:/FMSInfo/IsRedAlliance",true
0.883397,"NT:/FMSInfo/MatchNumber",0
0.883554,"NT:/FMSInfo/ReplayNumber",0
0.915481,"NT:/FMSInfo/FMSControlData",32
1.197446,"NT:/LiveWindow/Ungrouped/PIDController[1]/enabled",true
0.883097,"NT:/FMSInfo/EventName",""
0.788903,"NT:/LiveWindow/.status/LW Enabled",false
0.882955,"NT:/FMSInfo/GameSpecificMessage",""
1.197356,"NT:/LiveWindow/Ungrouped/PIDController[1]/p",1
0.883964,"NT:/FMSInfo/StationNumber",1
0.883686,"NT:/FMSInfo/MatchType",0
1.63551,"NTConnection","{""connected"":true,""remote_id"":""shuffleboard"",""remote_ip"":""10.46.7.139"",""remote_port"":57873,""protocol_version"":768}"
6.976929,"NT:/SmartDashboard/Pressure (PSI)",109.74959247648903
6.977454,"NT:/SmartDashboard/IMU Yaw Angle (deg)",0.0025314620286226264
6.978888,"IMU Yaw Angle (deg)",0.0025314620286226264
6.9789," Pressure (psi)",109.74959247648903
6.979214,"Compressor Current (A)",0
7.083051,"FL Turn Abs Enc (rad)",2.7453530656043
7.083694,"FL Turn Rel Enc (rad)",-0.1825437137583913
7.08434,"FL Drive Rel Enc (mps)",0
7.084487,"FL Turn Position Setpoint (rad)",0
7.084524,"FL Turn Velocity Setpoint (rad/s)",0
7.084652,"FL Turn Position Error (rad)",0
7.084763,"FL Turn Velocity Error (rad/s)",0
7.084792,"FL Turn Feed-forward Output (V)",0
7.084813,"FL Turn PID Output (V)",0
7.085433,"FL Is Homed",false
7.085478,"FR Turn Abs Enc (rad)",0.48844478489476917
7.085566,"FR Turn Rel Enc (rad)",0
7.085605,"FR Drive Rel Enc (mps)",0
7.085614,"FR Turn Position Setpoint (rad)",0
7.08562,"FR Turn Velocity Setpoint (rad/s)",0
7.085629,"FR Turn Position Error (rad)",0
7.085636,"FR Turn Velocity Error (rad/s)",0
7.085728,"FR Turn Feed-forward Output (V)",0
7.085741,"FR Turn PID Output (V)",0
7.085749,"FR Is Homed",false
7.085784,"RL Turn Abs Enc (rad)",2.9590570837739576
7.085799,"RL Turn Rel Enc (rad)",0
7.08591,"RL Drive Rel Enc (mps)",0
7.085919,"RL Turn Position Setpoint (rad)",0
7.085925,"RL Turn Velocity Setpoint (rad/s)",0
7.085933,"RL Turn Position Error (rad)",0
7.085939,"RL Turn Velocity Error (rad/s)",0
7.085945,"RL Turn Feed-forward Output (V)",0
7.085951,"RL Turn PID Output (V)",0
7.085957,"RL Is Homed",false
7.086048,"RR Turn Abs Enc (rad)",3.349490772771021
7.086066,"RR Turn Rel Enc (rad)",0
7.086092,"RR Drive Rel Enc (mps)",0
7.086099,"RR Turn Position Setpoint (rad)",0
7.086106,"RR Turn Velocity Setpoint (rad/s)",0
7.086113,"RR Turn Position Error (rad)",0
7.08612,"RR Turn Velocity Error (rad/s)",0
7.086126,"RR Turn Feed-forward Output (V)",0
7.086131,"RR Turn PID Output (V)",0
7.086138,"RR Is Homed",false
7.08694,"Drivetrain State","Idle"
7.11815,"systemTime",2022-11-15 19:35:38.738908
7.204024,"FMS Mode","Disabled"
7.206199," Pressure (psi)",109.74959247648903
7.206211,"IMU Yaw Angle (deg)",0.0038192675560712783
7.222634," Pressure (psi)",109.74959247648903
7.222642,"IMU Yaw Angle (deg)",0.0045341797918081244
7.231866," Pressure (psi)",109.74959247648903
7.23188,"IMU Yaw Angle (deg)",0.004747532889246936
7.234619," Pressure (psi)",109.74959247648903
7.234625,"IMU Yaw Angle (deg)",0.004747532889246936
7.235721," Pressure (psi)",109.74959247648903
7.235728,"IMU Yaw Angle (deg)",0.004747532889246936
7.237554," Pressure (psi)",109.74959247648903
7.237561,"IMU Yaw Angle (deg)",0.004747532889246936
7.239777," Pressure (psi)",109.74959247648903
7.239925,"IMU Yaw Angle (deg)",0.004747532889246936
7.242339," Pressure (psi)",109.74959247648903
7.242345,"IMU Yaw Angle (deg)",0.004792610093951221
7.243087," Pressure (psi)",109.74959247648903
7.243094,"IMU Yaw Angle (deg)",0.004792610093951221
7.243661," Pressure (psi)",109.74959247648903
